Business Name,Phone,Email,City,Industry,Website Status,Website URL,Demo Website URL,Priority
Birmingham Emergency Plumbing,0121 555 2222,help@birminghamplumbing.co.uk,Birmingham,Plumber,None,,https://oaken-eagle-vap3.here.now/,High
Leeds Drain Services,0113 555 2323,drains@leedsdrains.co.uk,Leeds,Plumber,None,,https://plush-vow-x54k.here.now/,High
Sheffield Power & Light,0114 555 2424,electric@sheffieldpower.co.uk,Sheffield,Electrician,None,,https://kindly-finch-mfj4.here.now/,High
Newcastle Electrical Co,0191 555 2525,wiring@newcastleelectrical.co.uk,Newcastle,Electrician,None,,https://chilly-quasar-9d7q.here.now/,High
Cardiff Electricians,029 2055 2626,sparky@cardiffelectricians.co.uk,Cardiff,Electrician,None,,https://royal-pepper-xsnt.here.now/,High
Liverpool Roof Repairs,0151 555 2727,roof@liverpoolrepairs.co.uk,Liverpool,Roofer,None,,https://evoked-urchin-vn5v.here.now/,High
Newcastle Roofing Experts,0191 555 2828,quotes@newcastleroofexperts.co.uk,Newcastle,Roofer,None,,https://indigo-rocket-ate3.here.now/,High
Cardiff Roof Solutions,029 2055 2929,fix@cardiffroof.co.uk,Cardiff,Roofer,None,,https://whole-paddle-9gq7.here.now/,High
London Style Hair,020 7555 3030,style@londonstylehair.co.uk,London,Hair Salon,None,,https://bronze-osprey-aheq.here.now/,High
Manchester Cuts,0161 555 3131,cuts@manchestercuts.co.uk,Manchester,Hair Salon,None,,https://hallowed-mango-vv5h.here.now/,High
Birmingham Beauty Salon,0121 555 3232,beauty@birminghambeauty.co.uk,Birmingham,Hair Salon,None,,https://cozy-palm-97vb.here.now/,High
Bristol Restaurant,0117 555 3333,dine@bristolrestaurant.co.uk,Bristol,Restaurant/Cafe,None,,https://astral-turret-vsw3.here.now/,High
Leeds Cafe Bar,0113 555 3434,hello@leedscafebar.co.uk,Leeds,Restaurant/Cafe,None,,https://indigo-pickle-pwkk.here.now/,High
Liverpool Food House,0151 555 3535,food@liverpoolfoodhouse.co.uk,Liverpool,Restaurant/Cafe,None,,https://marine-drift-zy3s.here.now/,High
